"\(\beta_D\), deg",0,4,8,12,16
"\(C_{D,V,\mathrm{low}}\)",0.0071,0.014,0.024,0.080,0.160
"\(C_{D,V,M=0.4}\)",0.0071,0.014,0.044,0.150,0.330
