"\(\alpha\), deg",-20,-16,-13,-12,-11,-8,-4,0,4,8,11,12,13,16,20
\(C_L\),-0.84,-0.94,-0.85,-0.772,-0.67,-0.37,-0.025,0.38,0.75,1.12,1.41,1.46,1.45,1.32,1.20
\(C_D\),0.175,0.089,0.058,0.042,0.0335,0.025,0.0170,0.0204,0.0418,0.072,0.114,0.128,0.1445,0.194,0.305
