"\(\alpha\), deg",-20,-16,-12,-8,-4,0,4,8,11,12,13,16,17,20
\(C_L\),-1.15,-0.95,-0.67,-0.33,-0.04,0.38,0.72,1.04,1.28,1.37,1.42,1.57,1.57,1.38
\(C_D\),0.150,0.089,0.042,0.025,0.0170,0.0204,0.0418,0.072,0.1065,0.118,0.131,0.171,0.189,0.247
